"","ip_address","latitude","longitude"
"4614410","41.222.181.72",-6.8349,37.6611
"4687419","41.222.181.72",-6.6831,39.2235
"4716547","41.222.181.72",-2.5228,32.904
"4726771","41.222.181.72",-2.52,32.9045
"4840896","41.222.181.72",-2.5316,32.9036
"4860528","41.222.181.72",-6.7962,39.2082
"4876758","41.222.181.72",-3.1271,37.013
"4890490","41.222.181.72",-6.8664,39.2621
"4939855","41.222.181.72",-8.9371,33.3536
"4974328","41.222.181.72",-3.3659,36.6545
"4974733","41.222.181.72",-5.0797,39.0987
"5050314","41.222.181.72",-3.1824,33.7771
"5056045","41.222.181.72",-10.2989,40.1799
"5061418","41.222.181.72",-10.2856,40.1833
"5083137","41.222.181.72",-6.1667,35.7804
"5100473","41.222.181.72",-6.7902,39.2591
"5138966","41.222.181.72",-6.8281,37.6548
"5152298","41.222.181.72",-2.8676,32.1861
"5160227","41.222.181.72",-6.8272,39.2273
"5163813","41.222.181.72",-1.3279,31.807
"5247993","41.222.181.72",-3.3548,37.3413
"5263936","41.222.181.72",-6.7818,39.2127
"5266260","41.222.181.72",-8.1498,36.685
"5290891","41.222.181.72",-3.3841,36.7072
"5300615","41.222.181.72",-6.1891,35.7371
"5311432","41.222.181.72",-4.8888,29.6297
"5324773","41.222.181.72",-6.1664,35.777
"5330365","41.222.181.72",-6.1854,35.7441
"5374981","41.222.181.72",-6.8685,39.2766
"5377584","41.222.181.72",-6.8431,39.1643
"5387020","41.222.181.72",-6.8976,39.1676
"5395638","41.222.181.72",-3.376,36.6629
"5404077","41.222.181.72",-2.875,32.2415
"5432134","41.222.181.72",-5.1076,39.0491
"5433157","41.222.181.72",-6.7933,37.6581
"5437390","41.222.181.72",-6.1592,35.7727
"5448535","41.222.181.72",-3.6804,33.4373
"5465648","41.222.181.72",-3.6748,33.4394
"5486221","41.222.181.72",-6.7872,39.2294
"5869506","41.222.181.72",-6.638,39.1869
"5870771","41.222.181.72",-6.8267,39.263
"5875294","41.222.181.72",-6.8255,39.2623
"5883389","41.222.181.72",-6.769,39.2335
"5887232","41.222.181.72",-2.231,33.8559
"5892379","41.222.181.72",-4.8876,29.6412
"5895922","41.222.181.72",-6.7909,39.0325
"5899256","41.222.181.72",-8.9145,33.4394
"5901773","41.222.181.72",-6.7881,39.1123
"5908475","41.222.181.72",-6.8288,36.9915
